,0,1
0,4000.0705,20.307999
1,3998.1418,25.118153
2,3996.2131,28.952919
3,3994.2844,31.444712
4,3992.3557,32.785801
5,3990.4272,33.260536
6,3988.4985,33.417602
7,3986.5698,33.506691
8,3984.6411,33.772564
9,3982.7124,34.080997
10,3980.7837,34.420788
11,3978.8552,34.594643
12,3976.9265,34.696449
13,3974.9978,34.670696
14,3973.0691,34.702724
15,3971.1404,34.722481
16,3969.2117,34.845039
17,3967.2829,34.921554
18,3965.3545,35.04393
19,3963.4258,35.081318
20,3961.4971,35.169998
21,3959.5683,35.196495
22,3957.6396,35.291466
23,3955.7109,35.310642
24,3953.7822,35.37241
25,3951.8537,35.337364
26,3949.925,35.356525
27,3947.9963,35.312519
28,3946.0676,35.365696
29,3944.1389,35.375706
30,3942.2102,35.478313
31,3940.2817,35.509083
32,3938.353,35.60685
33,3936.4243,35.616321
34,3934.4956,35.694878
35,3932.5669,35.687878
36,3930.6382,35.751217
37,3928.7095,35.718441
38,3926.781,35.74881
39,3924.8523,35.68029
40,3922.9236,35.68763
41,3920.9949,35.60992
42,3919.0662,35.620273
43,3917.1374,35.541099
44,3915.2087,35.539051
45,3913.2803,35.432121
46,3911.3516,35.401272
47,3909.4228,35.275326
48,3907.4941,35.249802
49,3905.5654,35.150974
50,3903.6367,35.171509
51,3901.7082,35.124092
52,3899.7795,35.197353
53,3897.8508,35.195221
54,3895.9221,35.30629
55,3893.9934,35.325569
56,3892.0647,35.439518
57,3890.136,35.435612
58,3888.2075,35.50597
59,3886.2788,35.442654
60,3884.3501,35.45364
61,3882.4214,35.338722
62,3880.4927,35.31707
63,3878.564,35.187748
64,3876.6352,35.173801
65,3874.7068,35.069679
66,3872.7781,35.099811
67,3870.8494,35.049774
68,3868.9206,35.138161
69,3866.9919,35.13464
70,3865.0632,35.250267
71,3863.1348,35.245838
72,3861.206,35.338806
73,3859.2773,35.295898
74,3857.3486,35.349567
75,3855.4199,35.271774
76,3853.4912,35.302074
77,3851.5625,35.208504
78,3849.634,35.232384
79,3847.7053,35.13797
80,3845.7766,35.171398
81,3843.8479,35.095207
82,3841.9192,35.158741
83,3839.9905,35.118149
84,3838.0618,35.220646
85,3836.1333,35.212772
86,3834.2046,35.339535
87,3832.2759,35.340671
88,3830.3472,35.463623
89,3828.4184,35.447311
90,3826.4897,35.548004
91,3824.5613,35.509258
92,3822.6326,35.598122
93,3820.7038,35.559135
94,3818.7751,35.660625
95,3816.8464,35.636097
96,3814.9177,35.745991
97,3812.989,35.711727
98,3811.0605,35.794357
99,3809.1318,35.718162
100,3807.2031,35.759373
101,3805.2744,35.652843
102,3803.3457,35.687466
103,3801.417,35.597576
104,3799.4883,35.669857
105,3797.5598,35.625423
106,3795.6311,35.742062
107,3793.7024,35.72826
108,3791.7737,35.859268
109,3789.845,35.840576
110,3787.9162,35.954616
111,3785.9878,35.911114
